id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd,runtime,budget,revenue,film_id,poster_path,backdrop_path
1,The Shawshank Redemption,"Drama, Crime",en,8.7,2,22,1994-09-23,27070,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",25000000.0,28341469.0,2h 22 min,"$25,000,000","$28,341,469",1,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,https://image.tmdb.org/t/p/w500/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg
2,The Godfather,"Drama, Crime",en,8.7,2,55,1972-03-14,20563,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano",6000000.0,245066411.0,2h 55 min,"$6,000,000","$245,066,411",2,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,https://image.tmdb.org/t/p/w500/tmU7GeKVybMWFButWEGl2M4GeiP.jpg
3,The Godfather Part II,"Drama, Crime",en,8.6,3,22,1974-12-20,12403,Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale",13000000.0,102600000.0,3h 22 min,"$13,000,000","$102,600,000",3,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,https://image.tmdb.org/t/p/w500/kGzFbGhp99zva6oZODW5atUtnqi.jpg
4,Schindler's List,"Drama, History, War",en,8.6,3,15,1993-12-15,15810,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall",22000000.0,321365567.0,3h 15 min,"$22,000,000","$321,365,567",4,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,https://image.tmdb.org/t/p/w500/zb6fM1CX41D9rF9hdgclu0peUmy.jpg
5,12 Angry Men,Drama,en,8.5,1,37,1957-04-10,8611,Sidney Lumet,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman",397751.0,4360000.0,1h 37 min,"$397,751","$4,360,000",5,https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,https://image.tmdb.org/t/p/w500/qqHQsStV6exghCM7zbObuYBiYxw.jpg
6,Spirited Away,"Animation, Family, Fantasy",ja,8.5,2,5,2001-07-20,16462,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naito, Yasuko Sawaguchi",19000000.0,274925095.0,2h 5 min,"$19,000,000","$274,925,095",6,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,https://image.tmdb.org/t/p/w500/6oaL4DP75yABrd5EbC4H2zq5ghc.jpg
7,The Wild Robot,"Animation, Science Fiction, Family",en,8.5,1,42,2024-09-12,2593,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu",78000000.0,271583746.0,1h 42 min,"$78,000,000","$271,583,746",7,https://image.tmdb.org/t/p/w500/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,https://image.tmdb.org/t/p/w500/v9acaWVVFdZT5yAU7J2QjwfhXyD.jpg
8,Dilwale Dulhania Le Jayenge,"Comedy, Drama, Romance",hi,8.5,3,10,1995-10-20,4434,Aditya Chopra,"Kajol, Shah Rukh Khan, Amrish Puri, Farida Jalal, Anupam Kher",13200000.0,100000000.0,3h 10 min,"$13,200,000","$100,000,000",8,https://image.tmdb.org/t/p/w500/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,https://image.tmdb.org/t/p/w500/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg
9,The Dark Knight,"Drama, Action, Crime, Thriller",en,8.5,2,32,2008-07-16,32816,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal",185000000.0,1004558444.0,2h 32 min,"$185,000,000","$1,004,558,444",9,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,https://image.tmdb.org/t/p/w500/oOv2oUXcAaNXakRqUPxYq5lJURz.jpg
10,The Green Mile,"Fantasy, Drama, Crime",en,8.5,3,9,1999-12-10,17376,Frank Darabont,"Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan, James Cromwell",60000000.0,286801374.0,3h 9 min,"$60,000,000","$286,801,374",10,https://image.tmdb.org/t/p/w500/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,https://image.tmdb.org/t/p/w500/vxJ08SvwomfKbpboCWynC3uqUg4.jpg
11,Parasite,"Comedy, Thriller, Drama",ko,8.5,2,13,2019-05-30,18215,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam",11363000.0,257591776.0,2h 13 min,"$11,363,000","$257,591,776",11,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,https://image.tmdb.org/t/p/w500/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg
12,Pulp Fiction,"Thriller, Crime",en,8.5,2,34,1994-09-10,27853,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames",8500000.0,213928762.0,2h 34 min,"$8,500,000","$213,928,762",12,https://image.tmdb.org/t/p/w500/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,https://image.tmdb.org/t/p/w500/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg
13,Your Name.,"Animation, Romance, Drama",ja,8.5,1,46,2016-08-26,11341,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yuki, Nobunaga Shimazaki",,358000000.0,1h 46 min,,"$358,000,000",13,https://image.tmdb.org/t/p/w500/vfJFJPepRKapMd5G2ro7klIRysq.jpg,https://image.tmdb.org/t/p/w500/dIWwZW7dJJtqC6CgWzYkNVKIUm8.jpg
14,The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",en,8.5,3,21,2003-12-17,24151,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis",94000000.0,1118888979.0,3h 21 min,"$94,000,000","$1,118,888,979",14,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,https://image.tmdb.org/t/p/w500/5JrZAtyk3LwiiAWLW0kwz41XZJC.jpg
15,Forrest Gump,"Comedy, Drama, Romance",en,8.5,2,22,1994-06-23,27384,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson",55000000.0,677387716.0,2h 22 min,"$55,000,000","$677,387,716",15,https://image.tmdb.org/t/p/w500/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,https://image.tmdb.org/t/p/w500/ghgfzbEV7kbpbi1O8eIILKVXEA8.jpg
16,Seven Samurai,"Action, Drama",ja,8.5,3,27,1954-04-26,3660,Akira Kurosawa,"Toshirō Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki",2000000.0,2626918.0,3h 27 min,"$2,000,000","$2,626,918",16,https://image.tmdb.org/t/p/w500/iAq0sq42vKTLneVGqHn1D4GzgrM.jpg,https://image.tmdb.org/t/p/w500/sJNNMCc6B7KZIY3LH3JMYJJNH5j.jpg
17,"The Good, the Bad and the Ugly",Western,it,8.5,2,41,1966-12-22,8584,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli",1200000.0,38900000.0,2h 41 min,"$1,200,000","$38,900,000",17,https://image.tmdb.org/t/p/w500/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,https://image.tmdb.org/t/p/w500/Adrip2Jqzw56KeuV2nAxucKMNXA.jpg
18,GoodFellas,"Drama, Crime",en,8.5,2,25,1990-09-12,12824,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino",25000000.0,46800000.0,2h 25 min,"$25,000,000","$46,800,000",18,https://image.tmdb.org/t/p/w500/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,https://image.tmdb.org/t/p/w500/7TF4p86ZafnxFuNqWdhpHXFO244.jpg
19,Grave of the Fireflies,"Animation, Drama, War",ja,8.5,1,29,1988-04-16,5536,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi, Masayo Sakai",3700000.0,516962.0,1h 29 min,"$3,700,000","$516,962",19,https://image.tmdb.org/t/p/w500/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,https://image.tmdb.org/t/p/w500/gwj4R8Uy1GwejKqfofREKI9Jh7L.jpg
20,Cinema Paradiso,"Drama, Romance",it,8.5,2,4,1988-11-17,4354,Giuseppe Tornatore,"Philippe Noiret, Jacques Perrin, Marco Leonardi, Salvatore Cascio, Agnese Nano",5000000.0,11990401.0,2h 4 min,"$5,000,000","$11,990,401",20,https://image.tmdb.org/t/p/w500/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,https://image.tmdb.org/t/p/w500/7lyq8hK0MhPHpUXdnqbFvZYSfkk.jpg
21,Life Is Beautiful,"Comedy, Drama",it,8.4,1,56,1997-12-20,12998,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric",20000000.0,230098753.0,1h 56 min,"$20,000,000","$230,098,753",21,https://image.tmdb.org/t/p/w500/74hLDKjD5aGYOotO6esUVaeISa2.jpg,https://image.tmdb.org/t/p/w500/gavyCu1UaTaTNPsVaGXT6pe5u24.jpg
22,Interstellar,"Adventure, Drama, Science Fiction",en,8.4,2,49,2014-11-05,35515,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck",165000000.0,701729206.0,2h 49 min,"$165,000,000","$701,729,206",22,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,https://image.tmdb.org/t/p/w500/xJHokMbljvjADYdit5fK5VQsXEG.jpg
23,Fight Club,Drama,en,8.4,2,19,1999-10-15,29324,David Fincher,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto",63000000.0,100853753.0,2h 19 min,"$63,000,000","$100,853,753",23,https://image.tmdb.org/t/p/w500/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,https://image.tmdb.org/t/p/w500/hZkgoQYus5vegHoetLkCJzb17zJ.jpg
24,Impossible Things,"Family, Drama",es,8.4,1,28,2021-06-17,387,Ernesto Contreras,"Nora Velázquez, Benny Emmanuel, Luisa Huertas, Salvador Garcini, Andrés Delgado",,,1h 28 min,,,24,https://image.tmdb.org/t/p/w500/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg,https://image.tmdb.org/t/p/w500/bxSBOAD8AuMHYMdW3jso9npAkgt.jpg
25,Psycho,"Horror, Thriller, Mystery",en,8.4,1,49,1960-06-22,10027,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam",806947.0,32000000.0,1h 49 min,"$806,947","$32,000,000",25,https://image.tmdb.org/t/p/w500/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,https://image.tmdb.org/t/p/w500/uif5fUshJrXyyDzfpzp1DLw3N0S.jpg
26,City of God,"Drama, Crime",pt,8.4,2,9,2002-08-30,7361,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen",3300000.0,30641770.0,2h 9 min,"$3,300,000","$30,641,770",26,https://image.tmdb.org/t/p/w500/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,https://image.tmdb.org/t/p/w500/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg
27,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",en,8.4,2,59,2001-12-18,25089,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm",93000000.0,871368364.0,2h 59 min,"$93,000,000","$871,368,364",27,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,https://image.tmdb.org/t/p/w500/x2RS3uTcsJJ9IfjNPcgDmukoEcQ.jpg
28,One Flew Over the Cuckoo's Nest,Drama,en,8.4,2,13,1975-11-19,10402,Miloš Forman,"Jack Nicholson, Brad Dourif, Louise Fletcher, Danny DeVito, William Redfield",3000000.0,108981275.0,2h 13 min,"$3,000,000","$108,981,275",28,https://image.tmdb.org/t/p/w500/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,https://image.tmdb.org/t/p/w500/qUq3QTr2KLvGIcN0GaaaYx9bbyH.jpg
29,Once Upon a Time in America,"Drama, Crime",en,8.4,3,49,1984-05-23,5368,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld",30000000.0,5500000.0,3h 49 min,"$30,000,000","$5,500,000",29,https://image.tmdb.org/t/p/w500/7jPWSo0yn6gW72LDuZvZq29uqpG.jpg,https://image.tmdb.org/t/p/w500/uPYa165sraN2c8gZBM9C47g3JoU.jpg
30,Gabriel's Inferno,"Romance, Drama",en,8.4,2,2,2020-05-29,2410,Tosca Musk,"Melanie Zanetti, Giulio Berruti, Kurt McKinney, Agnes Albright, Margaux Brooke",,,2h 2 min,,,30,https://image.tmdb.org/t/p/w500/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,https://image.tmdb.org/t/p/w500/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg
31,A Dog's Will,"Comedy, Drama, Fantasy",pt,8.4,1,44,2000-09-15,1093,Guel Arraes,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga, Diogo Vilela",,4903192.0,1h 44 min,,"$4,903,192",31,https://image.tmdb.org/t/p/w500/imcOp1kJsCsAFCoOtY5OnPrFbAf.jpg,https://image.tmdb.org/t/p/w500/alQqTpmEkxSLgajfEYTsTH6nAKB.jpg
32,Harakiri,"Action, Drama, History",ja,8.4,2,15,1962-09-15,990,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsuro Tamba, Masao Mishima",,,2h 15 min,,,32,https://image.tmdb.org/t/p/w500/5konZnIbcAxZjP616Cz5o9bKEfW.jpg,https://image.tmdb.org/t/p/w500/nC3IjYhUgZWgfKfFX0ygMigFwgc.jpg
33,Primal: Tales of Savagery,"Action, Adventure, Animation, Drama",en,8.4,1,25,2019-11-21,315,Genndy Tartakovsky,"Aaron LaPlante, Jon Olson, Bryan Andrews, Darrick Bachman",,,1h 25 min,,,33,https://image.tmdb.org/t/p/w500/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg,https://image.tmdb.org/t/p/w500/uBZQOYZLIU9dBmd62fdzBAoropu.jpg
34,Howl's Moving Castle,"Fantasy, Animation, Adventure",ja,8.4,1,59,2004-09-09,9852,Hayao Miyazaki,"Chieko Baisho, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin, Ryunosuke Kamiki",24000000.0,236049757.0,1h 59 min,"$24,000,000","$236,049,757",34,https://image.tmdb.org/t/p/w500/23hUJh7JdO23SpgUB5oiFDQk2wX.jpg,https://image.tmdb.org/t/p/w500/xqaN2WYQclQlqvKvsOcNgOx2vRn.jpg
35,The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action",en,8.4,2,59,2002-12-18,21798,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis",79000000.0,926287400.0,2h 59 min,"$79,000,000","$926,287,400",35,https://image.tmdb.org/t/p/w500/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,https://image.tmdb.org/t/p/w500/mshaKLtPUxcDBhzau6qiObEblhL.jpg
36,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure, Science Fiction",en,8.4,1,57,2018-12-06,15552,Bob Persichetti,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry",90000000.0,384298736.0,1h 57 min,"$90,000,000","$384,298,736",36,https://image.tmdb.org/t/p/w500/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,https://image.tmdb.org/t/p/w500/qGQf2OHIkoh89K8XeKQzhxczf96.jpg
37,Hope,Drama,ko,8.4,2,2,2013-10-02,729,Lee Joon-ik,"Sul Kyung-gu, Uhm Ji-won, Lee Re, Kim Sang-ho, Kim Hae-sook",,,2h 2 min,,,37,https://image.tmdb.org/t/p/w500/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg,https://image.tmdb.org/t/p/w500/4Nx40jwpoTHPjCWNGoaZ6kaoGxa.jpg
38,The Empire Strikes Back,"Adventure, Action, Science Fiction",en,8.4,2,4,1980-05-20,16887,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels",18000000.0,538400000.0,2h 4 min,"$18,000,000","$538,400,000",38,https://image.tmdb.org/t/p/w500/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,https://image.tmdb.org/t/p/w500/aJCtkxLLzkk1pECehVjKHA2lBgw.jpg
39,Gabriel's Inferno: Part II,"Romance, Drama",en,8.4,1,45,2020-07-31,1513,Tosca Musk,"Melanie Zanetti, Giulio Berruti, James Andrew Fraser, Margaux Brooke, Agnes Albright",,,1h 45 min,,,39,https://image.tmdb.org/t/p/w500/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg,https://image.tmdb.org/t/p/w500/jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg
40,Dou kyu sei – Classmates,"Romance, Animation",ja,8.4,1,1,2016-02-20,382,Shoko Nakamura,"Kenji Nojima, Hiroshi Kamiya, Hideo Ishikawa, Yurino",,,1h 1 min,,,40,https://image.tmdb.org/t/p/w500/cIfRCA5wEvj9tApca4UDUagQEiM.jpg,https://image.tmdb.org/t/p/w500/3RMLbSEXOn1CzLoNT7xFeLfdxhq.jpg
41,Gabriel's Inferno: Part III,"Romance, Drama",en,8.4,1,45,2020-11-19,1053,Tosca Musk,"Melanie Zanetti, Giulio Berruti, Rhett Wellington Ramirez, James Andrew Fraser, Margaux Brooke",,,1h 45 min,,,41,https://image.tmdb.org/t/p/w500/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg,https://image.tmdb.org/t/p/w500/fQq1FWp1rC89xDrRMuyFJdFUdMd.jpg
42,A Silent Voice: The Movie,"Animation, Drama",ja,8.4,2,9,2016-09-17,3938,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko",,30504476.0,2h 9 min,,"$30,504,476",42,https://image.tmdb.org/t/p/w500/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,https://image.tmdb.org/t/p/w500/5lAMQMWpXMsirvtLLvW7cJgEPkU.jpg
43,Whiplash,"Drama, Music",en,8.4,1,47,2014-10-10,15034,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell",3300000.0,50307484.0,1h 47 min,"$3,300,000","$50,307,484",43,https://image.tmdb.org/t/p/w500/7fn624j5lj3xTme2SgiLCeuedmO.jpg,https://image.tmdb.org/t/p/w500/5h8VtV4oh2qkO8Iqz7gypIYJPAr.jpg
44,The Pianist,"Drama, War",en,8.4,2,30,2002-09-17,9136,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox",35000000.0,120098945.0,2h 30 min,"$35,000,000","$120,098,945",44,https://image.tmdb.org/t/p/w500/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,https://image.tmdb.org/t/p/w500/hchJ0PTREmXveasCBsT4SdPY3JF.jpg
45,Se7en,"Crime, Mystery, Thriller",en,8.4,2,7,1995-09-22,20934,David Fincher,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie",33000000.0,327311859.0,2h 7 min,"$33,000,000","$327,311,859",45,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,https://image.tmdb.org/t/p/w500/p1PLSI5Nw2krGxD7X4ulul1tDAk.jpg
46,Radical,Drama,es,8.4,2,6,2023-10-19,416,Christopher Zalla,"Eugenio Derbez, Daniel Haddad, Jennifer Trejo, Mia Fernanda Solis, Danilo Guardiola Escobar",10000000.0,21761164.0,2h 6 min,"$10,000,000","$21,761,164",46,https://image.tmdb.org/t/p/w500/eGMkkbG85JUyXQEsbZKSnBrymts.jpg,https://image.tmdb.org/t/p/w500/gutU32BiBxJvJdzLv5RWC9hQhNh.jpg
47,Inception,"Action, Science Fiction, Adventure",en,8.4,2,28,2010-07-15,36495,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page",160000000.0,825532764.0,2h 28 min,"$160,000,000","$825,532,764",47,https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,https://image.tmdb.org/t/p/w500/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg
48,The Legend of Hei,"Animation, Fantasy, Action",zh,8.4,1,42,2019-08-27,364,MTJJ,"Shan Xin, Liu Mingyue, Hao Xianghai, Ding Dang, Yuntu Cao",,48045728.0,1h 42 min,,"$48,045,728",48,https://image.tmdb.org/t/p/w500/4jfbKKLpqts3i2h2obkrONcjTg1.jpg,https://image.tmdb.org/t/p/w500/aVFx1VtlOxR3v0ADEatalXOvwbu.jpg
49,Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Science Fiction",en,8.4,2,20,2023-05-31,6915,Kemp Powers,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson",100000000.0,690897910.0,2h 20 min,"$100,000,000","$690,897,910",49,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,https://image.tmdb.org/t/p/w500/kVd3a9YeLGkoeR50jGEXM6EqseS.jpg
50,TAYLOR SWIFT | THE ERAS TOUR,Music,en,8.4,2,49,2023-10-13,397,Sam Wrench,"Taylor Swift, Mike Meadows, Max Bernstein, Paul Sidoti, Amos Heller",15000000.0,261656269.0,2h 49 min,"$15,000,000","$261,656,269",50,https://image.tmdb.org/t/p/w500/jf3YO8hOqGHCupsREf5qymYq1n.jpg,https://image.tmdb.org/t/p/w500/uRKhh7JYMD6QWNt0NjmMfh7uLdm.jpg
51,Rear Window,"Thriller, Mystery",en,8.4,1,52,1954-08-01,6453,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr",1000000.0,37042336.0,1h 52 min,"$1,000,000","$37,042,336",51,https://image.tmdb.org/t/p/w500/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,https://image.tmdb.org/t/p/w500/8aEe01VfGtYG2dFy9V5MqyyNPlh.jpg
52,The Silence of the Lambs,"Crime, Drama, Thriller",en,8.3,1,59,1991-02-14,16228,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald",19000000.0,272742922.0,1h 59 min,"$19,000,000","$272,742,922",52,https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,https://image.tmdb.org/t/p/w500/aYcnDyLMnpKce1FOYUpZrXtgUye.jpg
53,Taylor Swift: Reputation Stadium Tour,Music,en,8.3,2,5,2018-12-31,382,Paul Dugdale,"Taylor Swift, Charli xcx, Camila Cabello, David Cook, Amos Heller",,,2h 5 min,,,53,https://image.tmdb.org/t/p/w500/u6oXUTtOuJRPdUgUuPAVVJPSKCo.jpg,https://image.tmdb.org/t/p/w500/ySaK6hpbCc2OE13ac7ovhgWwR5u.jpg
54,American History X,Drama,en,8.3,1,59,1998-07-01,11497,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee",20000000.0,23900000.0,1h 59 min,"$20,000,000","$23,900,000",54,https://image.tmdb.org/t/p/w500/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,https://image.tmdb.org/t/p/w500/mBdZ5rOB8RxluHwBfS64ZzaVanB.jpg
55,Princess Mononoke,"Adventure, Fantasy, Animation",ja,8.3,2,14,1997-07-12,7969,Hayao Miyazaki,"Youji Matsuda, Yuriko Ishida, Yuko Tanaka, Kaoru Kobayashi, Masahiko Nishimura",23500000.0,169000000.0,2h 14 min,"$23,500,000","$169,000,000",55,https://image.tmdb.org/t/p/w500/cMYCDADoLKLbB83g4WnJegaZimC.jpg,https://image.tmdb.org/t/p/w500/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg
56,High and Low,"Drama, Crime, Mystery",ja,8.3,2,22,1963-03-01,900,Akira Kurosawa,"Toshirō Mifune, Tatsuya Nakadai, Kyōko Kagawa, Tatsuya Mihashi, Isao Kimura",250000.0,,2h 22 min,"$250,000",,56,https://image.tmdb.org/t/p/w500/tgNjemQPG96uIezpiUiXFcer5ga.jpg,https://image.tmdb.org/t/p/w500/gSCT6oP2Sbm71naW28Lh7afcMgY.jpg
57,The Quintessential Quintuplets Movie,"Animation, Comedy, Romance",ja,8.3,2,16,2022-05-20,382,Masato Jimbo,"Yoshitsugu Matsuoka, Kana Hanazawa, Ayana Taketatsu, Miku Ito, Ayane Sakura",,17288993.0,2h 16 min,,"$17,288,993",57,https://image.tmdb.org/t/p/w500/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg,https://image.tmdb.org/t/p/w500/jBIMZ0AlUYuFNsKbd4L6FojWMoy.jpg
58,A Brighter Summer Day,"Crime, Drama, Romance",zh,8.3,3,57,1991-07-27,314,Edward Yang,"Chang Chen, Lisa Yang, Kuo-Chu Chang, Elaine Jin, Chuan Wang",,,3h 57 min,,,58,https://image.tmdb.org/t/p/w500/rDZ2mNQkZrnSzHPLQ7SzhzgCSoj.jpg,https://image.tmdb.org/t/p/w500/2LMgkmtnmhjUHvFXNDruHzrUFKK.jpg
59,Back to the Future,"Adventure, Comedy, Science Fiction",en,8.3,1,56,1985-07-03,19840,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Claudia Wells",19000000.0,381109762.0,1h 56 min,"$19,000,000","$381,109,762",59,https://image.tmdb.org/t/p/w500/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,https://image.tmdb.org/t/p/w500/5bzPWQ2dFUl2aZKkp7ILJVVkRed.jpg
60,Once Upon a Studio,"Animation, Family, Fantasy, Comedy",en,8.3,0,9,2023-09-24,352,Trent Correy,"Chris Diamantopoulos, Kaitlyn Robrock, Tony Anselmo, Bill Farmer, Jim Cummings",,,0h 9 min,,,60,https://image.tmdb.org/t/p/w500/aiy3G1cYWV3LgKZHY6a3jL8bjYL.jpg,https://image.tmdb.org/t/p/w500/8KJMOKyl9rpgb9ELEwhfBMIaTHw.jpg
61,Perfect Blue,"Animation, Thriller",ja,8.3,1,22,1998-02-28,2633,Satoshi Kon,"Junko Iwao, Rica Matsumoto, Shiho Niiyama, Masaaki Okura, Shinpachi Tsuji",830000.0,112536.0,1h 22 min,"$830,000","$112,536",61,https://image.tmdb.org/t/p/w500/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg,https://image.tmdb.org/t/p/w500/A1Larywbw79kZQqkvCEiPHJqdLN.jpg
