id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd,runtime,budget,revenue,film_id,poster_path,backdrop_path
4325,Beau Is Afraid,"Comedy, Adventure, Fantasy",en,6.8,2,59,2023-04-14,986,Ari Aster,"Joaquin Phoenix, Patti LuPone, Amy Ryan, Nathan Lane, Kylie Rogers",35000000.0,12337378.0,2h 59 min,"$35,000,000","$12,337,378",4325,https://image.tmdb.org/t/p/w500/wgVkkjigF31r1nZV80uV0xNIoun.jpg,https://image.tmdb.org/t/p/w500/o3YleBe0QGNNlUqm6CnJVqGQQH4.jpg
4326,Black Mirror: Bandersnatch,"Science Fiction, Mystery, Drama, Thriller, TV Movie",en,6.8,1,30,2018-12-28,3838,David Slade,"Fionn Whitehead, Craig Parkinson, Alice Lowe, Asim Chaudhry, Will Poulter",,,1h 30 min,,,4326,https://image.tmdb.org/t/p/w500/fR0VZ0VE598zl1lrYf7IfBqEwQ2.jpg,https://image.tmdb.org/t/p/w500/1qSo3zT9XAQYcbZaLBn46mTeTHZ.jpg
4327,Super 8,"Thriller, Science Fiction, Mystery",en,6.8,1,52,2011-06-08,6538,J.J. Abrams,"Joel Courtney, Elle Fanning, Riley Griffiths, Kyle Chandler, Noah Emmerich",50000000.0,260100000.0,1h 52 min,"$50,000,000","$260,100,000",4327,https://image.tmdb.org/t/p/w500/sytFL6ALMAesKZoarlp7bIDKnns.jpg,https://image.tmdb.org/t/p/w500/tQFwpwJg6Je7l6A8rgRZ8yefvdV.jpg
4328,Primer,"Science Fiction, Drama, Thriller",en,6.8,1,17,2004-10-08,2129,Shane Carruth,"Shane Carruth, David Sullivan, Casey Gooden, Anand Upadhyaya, Carrie Crawford",7000.0,545436.0,1h 17 min,"$7,000","$545,436",4328,https://image.tmdb.org/t/p/w500/xEoq2WmDzpzxhkHEsmOYOg6BPg6.jpg,https://image.tmdb.org/t/p/w500/yxlGeAK6BrbKng8VSJSKTpSXSsL.jpg
4329,Far and Away,"Adventure, Drama, Romance, Western",en,6.8,2,20,1992-05-22,1181,Ron Howard,"Tom Cruise, Nicole Kidman, Thomas Gibson, Robert Prosky, Barbara Babcock",60000000.0,137783840.0,2h 20 min,"$60,000,000","$137,783,840",4329,https://image.tmdb.org/t/p/w500/rbxvGXcD7fixrAsbiAYl9R76uDs.jpg,https://image.tmdb.org/t/p/w500/1MTBsjWk2nlcRLrAvgpB1uj00TC.jpg
4330,Secretary,"Comedy, Drama, Romance",en,6.8,1,47,2002-09-20,1606,Steven Shainberg,"James Spader, Maggie Gyllenhaal, Jeremy Davies, Lesley Ann Warren, Stephen McHattie",4000000.0,9300000.0,1h 47 min,"$4,000,000","$9,300,000",4330,https://image.tmdb.org/t/p/w500/mdRXSE7ho185SZlXj0JSwuecEd3.jpg,https://image.tmdb.org/t/p/w500/s0yjfb4Eafdkcl0pgByGqJSOwti.jpg
4331,Heaven's Gate,"Drama, Western, Romance",en,6.8,3,37,1980-11-19,355,Michael Cimino,"Kris Kristofferson, Christopher Walken, John Hurt, Sam Waterston, Brad Dourif",44000000.0,3484331.0,3h 37 min,"$44,000,000","$3,484,331",4331,https://image.tmdb.org/t/p/w500/kW4Vk31nhtKPKGuYMaVATq3wcHC.jpg,https://image.tmdb.org/t/p/w500/lDsqTcLfp91EYz1ZlVVoZPd1kF8.jpg
4332,Practical Magic,"Romance, Comedy, Fantasy",en,6.8,1,44,1998-10-16,1494,Griffin Dunne,"Sandra Bullock, Nicole Kidman, Stockard Channing, Dianne Wiest, Goran Visnjic",75000000.0,46733235.0,1h 44 min,"$75,000,000","$46,733,235",4332,https://image.tmdb.org/t/p/w500/AwmToSgf2IL3aHv0QRVsR5KvChv.jpg,https://image.tmdb.org/t/p/w500/6X3lVeDeOcEKiadSHP2XT80ZtI.jpg
4333,Avengement,"Crime, Action",en,6.8,1,28,2019-05-24,486,Jesse V. Johnson,"Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran, Kierston Wareing",2400000.0,,1h 28 min,"$2,400,000",,4333,https://image.tmdb.org/t/p/w500/rXPxSAYf3FdQktnOtQnvhUPMhFp.jpg,https://image.tmdb.org/t/p/w500/glNHP57gEZqm42ybpToCV9oZ1AP.jpg
4334,Hellboy II: The Golden Army,"Fantasy, Adventure, Action",en,6.8,2,0,2008-07-11,5144,Guillermo del Toro,"Ron Perlman, Selma Blair, Doug Jones, John Alexander, Seth MacFarlane",85000000.0,160388063.0,2h 0 min,"$85,000,000","$160,388,063",4334,https://image.tmdb.org/t/p/w500/zO0Wdrxnhx3KoJEvychSmnY3urC.jpg,https://image.tmdb.org/t/p/w500/44Nxgb2yGPfopdD2k7yZXpiZPYJ.jpg
4335,The Square,Drama,sv,6.8,2,31,2017-08-25,1535,Ruben Östlund,"Claes Bang, Elisabeth Moss, Dominic West, Terry Notary, Christopher Læssø",,9494535.0,2h 31 min,,"$9,494,535",4335,https://image.tmdb.org/t/p/w500/pefcv5VNspSK4Dt8doei5bJmmln.jpg,https://image.tmdb.org/t/p/w500/rYPjNFY1JE3DZ4QGjvJNnDQRTxe.jpg
4336,Body Double,"Crime, Mystery, Thriller",en,6.8,1,54,1984-10-25,778,Brian De Palma,"Craig Wasson, Melanie Griffith, Gregg Henry, Deborah Shelton, Guy Boyd",10000000.0,8801940.0,1h 54 min,"$10,000,000","$8,801,940",4336,https://image.tmdb.org/t/p/w500/lRFm5P2AdOGpELwm3HHhmUz6k5I.jpg,https://image.tmdb.org/t/p/w500/q7HylWBgbbwhl8cpO6pJVxZ940V.jpg
4337,Riding in Cars with Boys,"Comedy, Drama, Romance",en,6.8,2,12,2001-10-19,440,Penny Marshall,"Drew Barrymore, Steve Zahn, Adam Garcia, Brittany Murphy, James Woods",48000000.0,35700000.0,2h 12 min,"$48,000,000","$35,700,000",4337,https://image.tmdb.org/t/p/w500/fCkrHAOfQRN0GU42OjsDGvRKB48.jpg,https://image.tmdb.org/t/p/w500/wXax3nRWlZDfRqgrmBIKfE2OnaJ.jpg
4338,French Connection II,"Action, Crime, Drama, Thriller",en,6.8,1,59,1975-05-18,409,John Frankenheimer,"Gene Hackman, Fernando Rey, Bernard Fresson, Philippe Léotard, Ed Lauter",4300000.0,12500000.0,1h 59 min,"$4,300,000","$12,500,000",4338,https://image.tmdb.org/t/p/w500/4DFwE45gtQocpqNrt74O1mFqxyn.jpg,https://image.tmdb.org/t/p/w500/ffI5k9rPEkEKRTYm4bS4da3Yh20.jpg
